date,cc,rate,trend_kind,y_trend,residual
2022-09-30,CNY,5.1296,quadratic,5.107217869332218,0.02238213066778183
2022-10-01,CNY,5.1296,quadratic,5.107544088992328,0.022055911007671902
2022-10-02,CNY,5.1296,quadratic,5.107871134110321,0.021728865889678595
2022-10-03,CNY,5.1388,quadratic,5.108199004686199,0.030600995313800894
2022-10-04,CNY,5.14,quadratic,5.108527700719959,0.031472299280040694
2022-10-05,CNY,5.14,quadratic,5.108857222211604,0.03114277778839547
2022-10-06,CNY,5.14,quadratic,5.109187569161132,0.030812430838867755
2022-10-07,CNY,5.14,quadratic,5.109518741568544,0.03048125843145577
2022-10-08,CNY,5.14,quadratic,5.109850739433839,0.030149260566160407
2022-10-09,CNY,5.14,quadratic,5.110183562757018,0.029816437242981664
2022-10-10,CNY,5.14,quadratic,5.110517211538081,0.029482788461918652
2022-10-11,CNY,5.1136,quadratic,5.110851685777027,0.0027483142229725033
2022-10-12,CNY,5.1029,quadratic,5.111186985473858,-0.008286985473858088
2022-10-13,CNY,5.0994,quadratic,5.111523110628572,-0.012123110628571965
2022-10-14,CNY,5.0917,quadratic,5.1118600612411695,-0.020160061241169203
2022-10-15,CNY,5.0917,quadratic,5.11219783731165,-0.020497837311650002
2022-10-16,CNY,5.0917,quadratic,5.112536438840015,-0.02083643884001507
2022-10-17,CNY,5.0818,quadratic,5.112875865826264,-0.031075865826263538
2022-10-18,CNY,5.0783,quadratic,5.113216118270397,-0.03491611827039698
2022-10-19,CNY,5.0795,quadratic,5.113557196172413,-0.03405719617241232
2022-10-20,CNY,5.0594,quadratic,5.113899099532312,-0.05449909953231202
2022-10-21,CNY,5.0633,quadratic,5.114241828350095,-0.050941828350095086
2022-10-22,CNY,5.0633,quadratic,5.114585382625762,-0.05128538262576221
2022-10-23,CNY,5.0633,quadratic,5.114929762359313,-0.051629762359312714
2022-10-24,CNY,5.0465,quadratic,5.115274967550747,-0.06877496755074741
2022-10-25,CNY,5.0352,quadratic,5.115620998200065,-0.08042099820006499
2022-10-26,CNY,5.0034,quadratic,5.115967854307267,-0.11256785430726701
2022-10-27,CNY,5.0943,quadratic,5.116315535872352,-0.022015535872352388
2022-10-28,CNY,5.0585,quadratic,5.116664042895321,-0.05816404289532073
2022-10-29,CNY,5.0585,quadratic,5.117013375376174,-0.05851337537617329
2022-10-30,CNY,5.0585,quadratic,5.11736353331491,-0.05886353331490923
2022-10-31,CNY,5.0429,quadratic,5.11771451671153,-0.0748145167115295
2022-11-01,CNY,5.0089,quadratic,5.1180663255660335,-0.10916632556603378
2022-11-02,CNY,5.0404,quadratic,5.118418959878421,-0.07801895987842133
2022-11-03,CNY,5.0214,quadratic,5.118772419648692,-0.09737241964869181
2022-11-04,CNY,4.9975,quadratic,5.119126704876847,-0.12162670487684757
2022-11-05,CNY,4.9975,quadratic,5.119481815562885,-0.12198181556288556
2022-11-06,CNY,4.9975,quadratic,5.119837751706807,-0.12233775170680783
2022-11-07,CNY,5.0753,quadratic,5.120194513308613,-0.044894513308612716
2022-11-08,CNY,5.0589,quadratic,5.120552100368302,-0.06165210036830171
2022-11-09,CNY,5.0412,quadratic,5.120910512885875,-0.0797105128858755
2022-11-10,CNY,5.0418,quadratic,5.121269750861332,-0.07946975086133179
2022-11-11,CNY,5.0423,quadratic,5.121629814294673,-0.079329814294673
2022-11-12,CNY,5.0423,quadratic,5.121990703185896,-0.07969070318589644
2022-11-13,CNY,5.0423,quadratic,5.122352417535004,-0.08005241753500414
2022-11-14,CNY,5.145,quadratic,5.122714957341996,0.022285042658003462
2022-11-15,CNY,5.1748,quadratic,5.1230783226068715,0.05172167739312883
2022-11-16,CNY,5.1901,quadratic,5.12344251332963,0.06665748667036997
2022-11-17,CNY,5.1648,quadratic,5.123807529510272,0.04099247048972732
2022-11-18,CNY,5.1117,quadratic,5.124173371148799,-0.012473371148798762
2022-11-19,CNY,5.1117,quadratic,5.124540038245208,-0.012840038245208518
2022-11-20,CNY,5.1117,quadratic,5.124907530799502,-0.013207530799501654
2022-11-21,CNY,5.1379,quadratic,5.125275848811679,0.012624151188321164
2022-11-22,CNY,5.1029,quadratic,5.12564499228174,-0.022744992281739762
2022-11-23,CNY,5.1225,quadratic,5.126014961209685,-0.0035149612096851968
2022-11-24,CNY,5.1039,quadratic,5.126385755595512,-0.022485755595512025
2022-11-25,CNY,5.1153,quadratic,5.126757375439224,-0.01145737543922376
2022-11-26,CNY,5.1153,quadratic,5.12712982074082,-0.01182982074081984
2022-11-27,CNY,5.1153,quadratic,5.127503091500299,-0.012203091500298413
2022-11-28,CNY,5.0977,quadratic,5.127877187717662,-0.03017718771766198
2022-11-29,CNY,5.08,quadratic,5.128252109392909,-0.04825210939290869
2022-11-30,CNY,5.1024,quadratic,5.128627856526039,-0.026227856526038984
2022-12-01,CNY,5.1672,quadratic,5.129004429117053,0.038195570882947116
2022-12-02,CNY,5.1687,quadratic,5.12938182716595,0.039318172834049925
2022-12-03,CNY,5.1687,quadratic,5.129760050672732,0.03893994932726841
2022-12-04,CNY,5.1687,quadratic,5.130139099637397,0.03856090036260351
2022-12-05,CNY,5.2112,quadratic,5.130518974059945,0.08068102594005477
2022-12-06,CNY,5.2633,quadratic,5.130899673940378,0.1324003260596225
2022-12-07,CNY,5.2318,quadratic,5.1312811992786935,0.10051880072130626
2022-12-08,CNY,5.2403,quadratic,5.131663550074893,0.10863644992510757
2022-12-09,CNY,5.2445,quadratic,5.132046726328976,0.11245327367102398
2022-12-10,CNY,5.2445,quadratic,5.132430728040943,0.11206927195905703
2022-12-11,CNY,5.2445,quadratic,5.132815555210794,0.1116844447892067
2022-12-12,CNY,5.2556,quadratic,5.133201207838528,0.12239879216147198
2022-12-13,CNY,5.2428,quadratic,5.133587685924146,0.10921231407585363
2022-12-14,CNY,5.2374,quadratic,5.133974989467648,0.10342501053235242
2022-12-15,CNY,5.2604,quadratic,5.134363118469033,0.12603688153096648
2022-12-16,CNY,5.2488,quadratic,5.134752072928302,0.11404792707169786
2022-12-17,CNY,5.2488,quadratic,5.135141852845455,0.11365814715454547
2022-12-18,CNY,5.2488,quadratic,5.135532458220491,0.11326754177950882
