date,cc,rate
2022-09-30,CNY,5.1296
2022-10-01,CNY,5.1296
2022-10-02,CNY,5.1296
2022-10-03,CNY,5.1388
2022-10-04,CNY,5.14
2022-10-05,CNY,5.14
2022-10-06,CNY,5.14
2022-10-07,CNY,5.14
2022-10-08,CNY,5.14
2022-10-09,CNY,5.14
2022-10-10,CNY,5.14
2022-10-11,CNY,5.1136
2022-10-12,CNY,5.1029
2022-10-13,CNY,5.0994
2022-10-14,CNY,5.0917
2022-10-15,CNY,5.0917
2022-10-16,CNY,5.0917
2022-10-17,CNY,5.0818
2022-10-18,CNY,5.0783
2022-10-19,CNY,5.0795
2022-10-20,CNY,5.0594
2022-10-21,CNY,5.0633
2022-10-22,CNY,5.0633
2022-10-23,CNY,5.0633
2022-10-24,CNY,5.0465
2022-10-25,CNY,5.0352
2022-10-26,CNY,5.0034
2022-10-27,CNY,5.0943
2022-10-28,CNY,5.0585
2022-10-29,CNY,5.0585
2022-10-30,CNY,5.0585
2022-10-31,CNY,5.0429
2022-11-01,CNY,5.0089
2022-11-02,CNY,5.0404
2022-11-03,CNY,5.0214
2022-11-04,CNY,4.9975
2022-11-05,CNY,4.9975
2022-11-06,CNY,4.9975
2022-11-07,CNY,5.0753
2022-11-08,CNY,5.0589
2022-11-09,CNY,5.0412
2022-11-10,CNY,5.0418
2022-11-11,CNY,5.0423
2022-11-12,CNY,5.0423
2022-11-13,CNY,5.0423
2022-11-14,CNY,5.145
2022-11-15,CNY,5.1748
2022-11-16,CNY,5.1901
2022-11-17,CNY,5.1648
2022-11-18,CNY,5.1117
2022-11-19,CNY,5.1117
2022-11-20,CNY,5.1117
2022-11-21,CNY,5.1379
2022-11-22,CNY,5.1029
2022-11-23,CNY,5.1225
2022-11-24,CNY,5.1039
2022-11-25,CNY,5.1153
2022-11-26,CNY,5.1153
2022-11-27,CNY,5.1153
2022-11-28,CNY,5.0977
2022-11-29,CNY,5.08
2022-11-30,CNY,5.1024
2022-12-01,CNY,5.1672
2022-12-02,CNY,5.1687
2022-12-03,CNY,5.1687
2022-12-04,CNY,5.1687
2022-12-05,CNY,5.2112
2022-12-06,CNY,5.2633
2022-12-07,CNY,5.2318
2022-12-08,CNY,5.2403
2022-12-09,CNY,5.2445
2022-12-10,CNY,5.2445
2022-12-11,CNY,5.2445
2022-12-12,CNY,5.2556
2022-12-13,CNY,5.2428
2022-12-14,CNY,5.2374
2022-12-15,CNY,5.2604
2022-12-16,CNY,5.2488
2022-12-17,CNY,5.2488
2022-12-18,CNY,5.2488
2022-12-19,CNY,5.245
2022-12-20,CNY,5.2442
2022-12-21,CNY,5.2471
2022-12-22,CNY,5.2403
2022-12-23,CNY,5.2381
2022-12-24,CNY,5.2381
2022-12-25,CNY,5.2381
2022-12-26,CNY,5.2349
2022-12-27,CNY,5.2372
2022-12-28,CNY,5.2506
2022-12-29,CNY,5.2426
2022-12-30,CNY,5.2517
2022-12-31,CNY,5.2517
2023-01-01,CNY,5.2517
2023-01-02,CNY,5.3008
2023-01-03,CNY,5.2506
2023-01-04,CNY,5.2925
2023-01-05,CNY,5.3117
2023-01-06,CNY,5.3205
2023-01-07,CNY,5.3205
2023-01-08,CNY,5.3205
2023-01-09,CNY,5.3297
2023-01-10,CNY,5.3912
2023-01-11,CNY,5.3915
2023-01-12,CNY,5.3972
2023-01-13,CNY,5.4174
2023-01-14,CNY,5.4174
2023-01-15,CNY,5.4174
2023-01-16,CNY,5.4373
2023-01-17,CNY,5.4319
2023-01-18,CNY,5.3961
2023-01-19,CNY,5.4149
2023-01-20,CNY,5.3895
2023-01-21,CNY,5.3895
2023-01-22,CNY,5.3895
2023-01-23,CNY,5.392
2023-01-24,CNY,5.3835
2023-01-25,CNY,5.3835
2023-01-26,CNY,5.3835
2023-01-27,CNY,5.3835
2023-01-28,CNY,5.3835
2023-01-29,CNY,5.3835
2023-01-30,CNY,5.3835
2023-01-31,CNY,5.4171
2023-02-01,CNY,5.4128
2023-02-02,CNY,5.4243
2023-02-03,CNY,5.4385
2023-02-04,CNY,5.4385
2023-02-05,CNY,5.4385
2023-02-06,CNY,5.4277
2023-02-07,CNY,5.393
2023-02-08,CNY,5.3884
2023-02-09,CNY,5.3888
2023-02-10,CNY,5.3961
2023-02-11,CNY,5.3961
2023-02-12,CNY,5.3961
2023-02-13,CNY,5.3672
2023-02-14,CNY,5.3587
2023-02-15,CNY,5.3672
2023-02-16,CNY,5.3442
2023-02-17,CNY,5.3345
2023-02-18,CNY,5.3345
2023-02-19,CNY,5.3345
2023-02-20,CNY,5.3163
2023-02-21,CNY,5.3315
2023-02-22,CNY,5.3152
2023-02-23,CNY,5.3056
2023-02-24,CNY,5.3011
2023-02-25,CNY,5.3011
2023-02-26,CNY,5.3011
2023-02-27,CNY,5.2664
2023-02-28,CNY,5.2597
2023-03-01,CNY,5.2709
2023-03-02,CNY,5.3264
2023-03-03,CNY,5.2921
2023-03-04,CNY,5.2921
2023-03-05,CNY,5.2921
2023-03-06,CNY,5.2937
2023-03-07,CNY,5.2719
2023-03-08,CNY,5.2725
2023-03-09,CNY,5.2564
2023-03-10,CNY,5.2498
2023-03-11,CNY,5.2498
2023-03-12,CNY,5.2498
2023-03-13,CNY,5.2616
2023-03-14,CNY,5.3312
2023-03-15,CNY,5.3243
2023-03-16,CNY,5.2983
2023-03-17,CNY,5.3036
2023-03-18,CNY,5.3036
2023-03-19,CNY,5.3036
2023-03-20,CNY,5.3121
2023-03-21,CNY,5.3151
2023-03-22,CNY,5.3197
2023-03-23,CNY,5.3125
2023-03-24,CNY,5.3545
2023-03-25,CNY,5.3545
2023-03-26,CNY,5.3545
2023-03-27,CNY,5.3215
2023-03-28,CNY,5.3141
2023-03-29,CNY,5.3171
2023-03-30,CNY,5.3119
2023-03-31,CNY,5.3142
2023-04-01,CNY,5.3142
2023-04-02,CNY,5.3142
2023-04-03,CNY,5.3192
2023-04-04,CNY,5.3111
2023-04-05,CNY,5.3127
2023-04-06,CNY,5.3157
2023-04-07,CNY,5.3205
2023-04-08,CNY,5.3205
2023-04-09,CNY,5.3205
2023-04-10,CNY,5.3123
2023-04-11,CNY,5.3171
2023-04-12,CNY,5.3113
2023-04-13,CNY,5.3127
2023-04-14,CNY,5.3167
2023-04-15,CNY,5.3167
2023-04-16,CNY,5.3167
2023-04-17,CNY,5.3354
2023-04-18,CNY,5.3227
2023-04-19,CNY,5.3188
2023-04-20,CNY,5.3023
2023-04-21,CNY,5.315
2023-04-22,CNY,5.315
2023-04-23,CNY,5.315
2023-04-24,CNY,5.3089
2023-04-25,CNY,5.3055
2023-04-26,CNY,5.2832
2023-04-27,CNY,5.2821
2023-04-28,CNY,5.2814
2023-04-29,CNY,5.2814
2023-04-30,CNY,5.2814
2023-05-01,CNY,5.2851
2023-05-02,CNY,5.2859
2023-05-03,CNY,5.2859
2023-05-04,CNY,5.2859
2023-05-05,CNY,5.291
2023-05-06,CNY,5.291
2023-05-07,CNY,5.291
2023-05-08,CNY,5.2926
2023-05-09,CNY,5.2865
2023-05-10,CNY,5.2833
2023-05-11,CNY,5.2813
2023-05-12,CNY,5.2715
2023-05-13,CNY,5.2715
2023-05-14,CNY,5.2715
2023-05-15,CNY,5.2598
2023-05-16,CNY,5.26
2023-05-17,CNY,5.2503
2023-05-18,CNY,5.2271
2023-05-19,CNY,5.2037
2023-05-20,CNY,5.2037
2023-05-21,CNY,5.2037
2023-05-22,CNY,5.2148
2023-05-23,CNY,5.2021
2023-05-24,CNY,5.1839
2023-05-25,CNY,5.1881
2023-05-26,CNY,5.1714
2023-05-27,CNY,5.1714
2023-05-28,CNY,5.1714
2023-05-29,CNY,5.1823
2023-05-30,CNY,5.168
2023-05-31,CNY,5.1654
2023-06-01,CNY,5.1449
2023-06-02,CNY,5.1426
2023-06-03,CNY,5.1426
2023-06-04,CNY,5.1426
2023-06-05,CNY,5.1747
2023-06-06,CNY,5.1384
2023-06-07,CNY,5.1383
2023-06-08,CNY,5.1414
2023-06-09,CNY,5.1297
2023-06-10,CNY,5.1297
2023-06-11,CNY,5.1297
2023-06-12,CNY,5.1301
2023-06-13,CNY,5.1196
2023-06-14,CNY,5.1145
2023-06-15,CNY,5.1084
2023-06-16,CNY,5.1064
2023-06-17,CNY,5.1064
2023-06-18,CNY,5.1064
2023-06-19,CNY,5.1328
2023-06-20,CNY,5.1087
2023-06-21,CNY,5.0957
2023-06-22,CNY,5.0879
2023-06-23,CNY,5.093
2023-06-24,CNY,5.093
2023-06-25,CNY,5.093
2023-06-26,CNY,5.093
