date,cc,rate,trend_kind,y_trend,residual
2022-09-30,PLN,7.3348,quadratic,7.756034957165629,-0.42123495716562864
2022-10-01,PLN,7.3348,quadratic,7.759781899241614,-0.42498189924161345
2022-10-02,PLN,7.3348,quadratic,7.763528109275744,-0.42872810927574356
2022-10-03,PLN,7.3483,quadratic,7.767273587268017,-0.4189735872680167
2022-10-04,PLN,7.383,quadratic,7.771018333218434,-0.38801833321843393
2022-10-05,PLN,7.5069,quadratic,7.7747623471269955,-0.26786234712699564
2022-10-06,PLN,7.5407,quadratic,7.778505628993701,-0.2378056289937005
2022-10-07,PLN,7.4352,quadratic,7.782248178818549,-0.3470481788185493
2022-10-08,PLN,7.4352,quadratic,7.785989996601543,-0.3507899966015433
2022-10-09,PLN,7.4352,quadratic,7.78973108234268,-0.35453108234267994
2022-10-10,PLN,7.362,quadratic,7.793471436041961,-0.4314714360419609
2022-10-11,PLN,7.2799,quadratic,7.7972110576993865,-0.5173110576993869
2022-10-12,PLN,7.3007,quadratic,7.8009499473149555,-0.5002499473149555
2022-10-13,PLN,7.3149,quadratic,7.804688104888669,-0.4897881048886692
2022-10-14,PLN,7.3745,quadratic,7.808425530420526,-0.4339255304205256
2022-10-15,PLN,7.3745,quadratic,7.812162223910527,-0.437662223910527
2022-10-16,PLN,7.3745,quadratic,7.815898185358672,-0.4413981853586719
2022-10-17,PLN,7.3625,quadratic,7.8196334147649615,-0.4571334147649617
2022-10-18,PLN,7.397,quadratic,7.823367912129395,-0.42636791212939507
2022-10-19,PLN,7.4841,quadratic,7.827101677451973,-0.34300167745197285
2022-10-20,PLN,7.4711,quadratic,7.830834710732693,-0.3597347107326936
2022-10-21,PLN,7.5176,quadratic,7.834567011971559,-0.31696701197155885
2022-10-22,PLN,7.5176,quadratic,7.8382985811685675,-0.32069858116856764
2022-10-23,PLN,7.5176,quadratic,7.842029418323721,-0.32442941832372085
2022-10-24,PLN,7.4583,quadratic,7.845759523437018,-0.38745952343701795
2022-10-25,PLN,7.5111,quadratic,7.8494888965084595,-0.3383888965084596
2022-10-26,PLN,7.5527,quadratic,7.853217537538044,-0.30051753753804444
2022-10-27,PLN,7.6999,quadratic,7.856945446525773,-0.1570454465257729
2022-10-28,PLN,7.7168,quadratic,7.860672623471647,-0.14387262347164675
2022-10-29,PLN,7.7168,quadratic,7.864399068375664,-0.14759906837566383
2022-10-30,PLN,7.7168,quadratic,7.868124781237825,-0.15132478123782533
2022-10-31,PLN,7.7004,quadratic,7.8718497620581305,-0.17144976205813034
2022-11-01,PLN,7.6909,quadratic,7.875574010836579,-0.18467401083657897
2022-11-02,PLN,7.726,quadratic,7.879297527573173,-0.15329752757317294
2022-11-03,PLN,7.7064,quadratic,7.8830203122679094,-0.17662031226790909
2022-11-04,PLN,7.5678,quadratic,7.886742364920791,-0.3189423649207912
2022-11-05,PLN,7.5678,quadratic,7.890463685531816,-0.3226636855318157
2022-11-06,PLN,7.5678,quadratic,7.8941842741009856,-0.32638427410098547
2022-11-07,PLN,7.6839,quadratic,7.897904130628298,-0.2140041306282976
2022-11-08,PLN,7.7868,quadratic,7.901623255113756,-0.11482325511375535
2022-11-09,PLN,7.7847,quadratic,7.905341647557357,-0.12064164755735707
2022-11-10,PLN,7.8185,quadratic,7.909059307959102,-0.09055930795910161
2022-11-11,PLN,7.7299,quadratic,7.912776236318991,-0.1828762363189913
2022-11-12,PLN,7.7299,quadratic,7.916492432637024,-0.18659243263702407
2022-11-13,PLN,7.7299,quadratic,7.920207896913201,-0.19030789691320127
2022-11-14,PLN,8.0622,quadratic,7.923922629147522,0.13827737085247893
2022-11-15,PLN,8.0604,quadratic,7.927636629339987,0.13276337066001265
2022-11-16,PLN,8.0825,quadratic,7.9313498974905965,0.15115010250940308
2022-11-17,PLN,8.0924,quadratic,7.93506243359935,0.15733756640065
2022-11-18,PLN,8.0099,quadratic,7.938774237666246,0.07112576233375378
2022-11-19,PLN,8.0099,quadratic,7.942485309691287,0.06741469030871272
2022-11-20,PLN,8.0099,quadratic,7.946195649674473,0.06370435032552724
2022-11-21,PLN,8.0569,quadratic,7.949905257615802,0.10699474238419882
2022-11-22,PLN,7.959,quadratic,7.953614133515275,0.005385866484724389
2022-11-23,PLN,7.9714,quadratic,7.957322277372892,0.014077722627107825
2022-11-24,PLN,8.0279,quadratic,7.961029689188654,0.06687031081134709
2022-11-25,PLN,8.1053,quadratic,7.9647363689625585,0.14056363103744118
2022-11-26,PLN,8.1053,quadratic,7.968442316694607,0.13685768330539272
2022-11-27,PLN,8.1053,quadratic,7.972147532384801,0.13315246761519894
2022-11-28,PLN,8.0925,quadratic,7.975852016033137,0.11664798396686216
2022-11-29,PLN,8.1672,quadratic,7.979555767639619,0.18764423236038041
2022-11-30,PLN,8.1139,quadratic,7.983258787204243,0.1306412127957559
2022-12-01,PLN,8.1276,quadratic,7.986961074727013,0.14063892527298627
2022-12-02,PLN,8.1336,quadratic,7.990662630207926,0.14293736979207328
2022-12-03,PLN,8.1336,quadratic,7.994363453646983,0.13923654635301652
2022-12-04,PLN,8.1336,quadratic,7.998063545044184,0.13553645495581534
2022-12-05,PLN,8.2245,quadratic,8.001762904399529,0.22273709560047195
2022-12-06,PLN,8.2589,quadratic,8.005461531713019,0.2534384682869817
2022-12-07,PLN,8.1888,quadratic,8.00915942698465,0.17964057301534986
2022-12-08,PLN,8.1956,quadratic,8.012856590214428,0.1827434097855729
2022-12-09,PLN,8.2119,quadratic,8.016553021402348,0.1953469785976516
2022-12-10,PLN,8.2119,quadratic,8.020248720548414,0.19165127945158567
2022-12-11,PLN,8.2119,quadratic,8.023943687652624,0.1879563123473762
2022-12-12,PLN,8.2247,quadratic,8.027637922714977,0.19706207728502356
2022-12-13,PLN,8.2252,quadratic,8.031331425735473,0.19386857426452586
2022-12-14,PLN,8.2132,quadratic,8.035024196714115,0.17817580328588534
2022-12-15,PLN,8.3116,quadratic,8.038716235650899,0.27288376434910155
2022-12-16,PLN,8.2834,quadratic,8.042407542545828,0.24099245745417264
2022-12-17,PLN,8.2834,quadratic,8.046098117398902,0.2373018826010984
2022-12-18,PLN,8.2834,quadratic,8.049787960210118,0.23361203978988243
2022-12-19,PLN,8.2817,quadratic,8.05347707097948,0.22822292902052155
2022-12-20,PLN,8.2832,quadratic,8.057165449706984,0.22603455029301678
2022-12-21,PLN,8.301,quadratic,8.060853096392634,0.240146903607366
2022-12-22,PLN,8.3305,quadratic,8.064540011036426,0.26595998896357465
2022-12-23,PLN,8.3677,quadratic,8.068226193638363,0.299473806361636
2022-12-24,PLN,8.3677,quadratic,8.071911644198444,0.29578835580155527
2022-12-25,PLN,8.3677,quadratic,8.07559636271667,0.2921036372833292
2022-12-26,PLN,8.3635,quadratic,8.079280349193038,0.2842196508069623
2022-12-27,PLN,8.3681,quadratic,8.082963603627551,0.28513639637244914
2022-12-28,PLN,8.3321,quadratic,8.08664612602021,0.24545387397979113
2022-12-29,PLN,8.2866,quadratic,8.09032791637101,0.1962720836289904
