date,cc,rate
2022-09-30,PLN,7.3348
2022-10-01,PLN,7.3348
2022-10-02,PLN,7.3348
2022-10-03,PLN,7.3483
2022-10-04,PLN,7.383
2022-10-05,PLN,7.5069
2022-10-06,PLN,7.5407
2022-10-07,PLN,7.4352
2022-10-08,PLN,7.4352
2022-10-09,PLN,7.4352
2022-10-10,PLN,7.362
2022-10-11,PLN,7.2799
2022-10-12,PLN,7.3007
2022-10-13,PLN,7.3149
2022-10-14,PLN,7.3745
2022-10-15,PLN,7.3745
2022-10-16,PLN,7.3745
2022-10-17,PLN,7.3625
2022-10-18,PLN,7.397
2022-10-19,PLN,7.4841
2022-10-20,PLN,7.4711
2022-10-21,PLN,7.5176
2022-10-22,PLN,7.5176
2022-10-23,PLN,7.5176
2022-10-24,PLN,7.4583
2022-10-25,PLN,7.5111
2022-10-26,PLN,7.5527
2022-10-27,PLN,7.6999
2022-10-28,PLN,7.7168
2022-10-29,PLN,7.7168
2022-10-30,PLN,7.7168
2022-10-31,PLN,7.7004
2022-11-01,PLN,7.6909
2022-11-02,PLN,7.726
2022-11-03,PLN,7.7064
2022-11-04,PLN,7.5678
2022-11-05,PLN,7.5678
2022-11-06,PLN,7.5678
2022-11-07,PLN,7.6839
2022-11-08,PLN,7.7868
2022-11-09,PLN,7.7847
2022-11-10,PLN,7.8185
2022-11-11,PLN,7.7299
2022-11-12,PLN,7.7299
2022-11-13,PLN,7.7299
2022-11-14,PLN,8.0622
2022-11-15,PLN,8.0604
2022-11-16,PLN,8.0825
2022-11-17,PLN,8.0924
2022-11-18,PLN,8.0099
2022-11-19,PLN,8.0099
2022-11-20,PLN,8.0099
2022-11-21,PLN,8.0569
2022-11-22,PLN,7.959
2022-11-23,PLN,7.9714
2022-11-24,PLN,8.0279
2022-11-25,PLN,8.1053
2022-11-26,PLN,8.1053
2022-11-27,PLN,8.1053
2022-11-28,PLN,8.0925
2022-11-29,PLN,8.1672
2022-11-30,PLN,8.1139
2022-12-01,PLN,8.1276
2022-12-02,PLN,8.1336
2022-12-03,PLN,8.1336
2022-12-04,PLN,8.1336
2022-12-05,PLN,8.2245
2022-12-06,PLN,8.2589
2022-12-07,PLN,8.1888
2022-12-08,PLN,8.1956
2022-12-09,PLN,8.2119
2022-12-10,PLN,8.2119
2022-12-11,PLN,8.2119
2022-12-12,PLN,8.2247
2022-12-13,PLN,8.2252
2022-12-14,PLN,8.2132
2022-12-15,PLN,8.3116
2022-12-16,PLN,8.2834
2022-12-17,PLN,8.2834
2022-12-18,PLN,8.2834
2022-12-19,PLN,8.2817
2022-12-20,PLN,8.2832
2022-12-21,PLN,8.301
2022-12-22,PLN,8.3305
2022-12-23,PLN,8.3677
2022-12-24,PLN,8.3677
2022-12-25,PLN,8.3677
2022-12-26,PLN,8.3635
2022-12-27,PLN,8.3681
2022-12-28,PLN,8.3321
2022-12-29,PLN,8.2866
2022-12-30,PLN,8.2984
2022-12-31,PLN,8.2984
2023-01-01,PLN,8.2984
2023-01-02,PLN,8.3336
2023-01-03,PLN,8.3469
2023-01-04,PLN,8.2284
2023-01-05,PLN,8.3173
2023-01-06,PLN,8.3071
2023-01-07,PLN,8.3071
2023-01-08,PLN,8.3071
2023-01-09,PLN,8.171
2023-01-10,PLN,8.3249
2023-01-11,PLN,8.3488
2023-01-12,PLN,8.3879
2023-01-13,PLN,8.3908
2023-01-14,PLN,8.3908
2023-01-15,PLN,8.3908
2023-01-16,PLN,8.4318
2023-01-17,PLN,8.43
2023-01-18,PLN,8.4538
2023-01-19,PLN,8.4228
2023-01-20,PLN,8.3971
2023-01-21,PLN,8.3971
2023-01-22,PLN,8.3971
2023-01-23,PLN,8.3998
2023-01-24,PLN,8.4324
2023-01-25,PLN,8.4292
2023-01-26,PLN,8.4322
2023-01-27,PLN,8.4407
2023-01-28,PLN,8.4407
2023-01-29,PLN,8.4407
2023-01-30,PLN,8.4435
2023-01-31,PLN,8.4667
2023-02-01,PLN,8.4052
2023-02-02,PLN,8.4612
2023-02-03,PLN,8.5397
2023-02-04,PLN,8.5397
2023-02-05,PLN,8.5397
2023-02-06,PLN,8.5251
2023-02-07,PLN,8.3467
2023-02-08,PLN,8.2302
2023-02-09,PLN,8.2884
2023-02-10,PLN,8.3101
2023-02-11,PLN,8.3101
2023-02-12,PLN,8.3101
2023-02-13,PLN,8.1639
2023-02-14,PLN,8.1654
2023-02-15,PLN,8.2589
2023-02-16,PLN,8.2127
2023-02-17,PLN,8.1868
2023-02-18,PLN,8.1868
2023-02-19,PLN,8.1868
2023-02-20,PLN,8.1274
2023-02-21,PLN,8.2278
2023-02-22,PLN,8.2097
2023-02-23,PLN,8.2072
2023-02-24,PLN,8.1853
2023-02-25,PLN,8.1853
2023-02-26,PLN,8.1853
2023-02-27,PLN,8.1871
2023-02-28,PLN,8.1851
2023-03-01,PLN,8.2358
2023-03-02,PLN,8.3541
2023-03-03,PLN,8.2714
2023-03-04,PLN,8.2714
2023-03-05,PLN,8.2714
2023-03-06,PLN,8.241
2023-03-07,PLN,8.265
2023-03-08,PLN,8.3196
2023-03-09,PLN,8.2469
2023-03-10,PLN,8.2566
2023-03-11,PLN,8.2566
2023-03-12,PLN,8.2566
2023-03-13,PLN,8.2723
2023-03-14,PLN,8.3224
2023-03-15,PLN,8.3802
2023-03-16,PLN,8.2178
2023-03-17,PLN,8.2456
2023-03-18,PLN,8.2456
2023-03-19,PLN,8.2456
2023-03-20,PLN,8.2564
2023-03-21,PLN,8.3216
2023-03-22,PLN,8.3936
2023-03-23,PLN,8.4172
2023-03-24,PLN,8.4883
2023-03-25,PLN,8.4883
2023-03-26,PLN,8.4883
2023-03-27,PLN,8.3827
2023-03-28,PLN,8.4062
2023-03-29,PLN,8.4606
2023-03-30,PLN,8.472
2023-03-31,PLN,8.5002
2023-04-01,PLN,8.5002
2023-04-02,PLN,8.5002
2023-04-03,PLN,8.5039
2023-04-04,PLN,8.5055
2023-04-05,PLN,8.5357
2023-04-06,PLN,8.5481
2023-04-07,PLN,8.518
2023-04-08,PLN,8.518
2023-04-09,PLN,8.518
2023-04-10,PLN,8.5178
2023-04-11,PLN,8.5035
2023-04-12,PLN,8.5421
2023-04-13,PLN,8.5647
2023-04-14,PLN,8.6896
2023-04-15,PLN,8.6896
2023-04-16,PLN,8.6896
2023-04-17,PLN,8.7002
2023-04-18,PLN,8.6711
2023-04-19,PLN,8.688
