date,cc,rate
2022-09-30,USD,36.5686
2022-10-01,USD,36.5686
2022-10-02,USD,36.5686
2022-10-03,USD,36.5686
2022-10-04,USD,36.5686
2022-10-05,USD,36.5686
2022-10-06,USD,36.5686
2022-10-07,USD,36.5686
2022-10-08,USD,36.5686
2022-10-09,USD,36.5686
2022-10-10,USD,36.5686
2022-10-11,USD,36.5686
2022-10-12,USD,36.5686
2022-10-13,USD,36.5686
2022-10-14,USD,36.5686
2022-10-15,USD,36.5686
2022-10-16,USD,36.5686
2022-10-17,USD,36.5686
2022-10-18,USD,36.5686
2022-10-19,USD,36.5686
2022-10-20,USD,36.5686
2022-10-21,USD,36.5686
2022-10-22,USD,36.5686
2022-10-23,USD,36.5686
2022-10-24,USD,36.5686
2022-10-25,USD,36.5686
2022-10-26,USD,36.5686
2022-10-27,USD,36.5686
2022-10-28,USD,36.5686
2022-10-29,USD,36.5686
2022-10-30,USD,36.5686
2022-10-31,USD,36.5686
2022-11-01,USD,36.5686
2022-11-02,USD,36.5686
2022-11-03,USD,36.5686
2022-11-04,USD,36.5686
2022-11-05,USD,36.5686
2022-11-06,USD,36.5686
2022-11-07,USD,36.5686
2022-11-08,USD,36.5686
2022-11-09,USD,36.5686
2022-11-10,USD,36.5686
2022-11-11,USD,36.5686
2022-11-12,USD,36.5686
2022-11-13,USD,36.5686
2022-11-14,USD,36.5686
2022-11-15,USD,36.5686
2022-11-16,USD,36.5686
2022-11-17,USD,36.5686
2022-11-18,USD,36.5686
2022-11-19,USD,36.5686
2022-11-20,USD,36.5686
2022-11-21,USD,36.5686
2022-11-22,USD,36.5686
2022-11-23,USD,36.5686
2022-11-24,USD,36.5686
2022-11-25,USD,36.5686
2022-11-26,USD,36.5686
2022-11-27,USD,36.5686
2022-11-28,USD,36.5686
2022-11-29,USD,36.5686
2022-11-30,USD,36.5686
2022-12-01,USD,36.5686
2022-12-02,USD,36.5686
2022-12-03,USD,36.5686
2022-12-04,USD,36.5686
2022-12-05,USD,36.5686
2022-12-06,USD,36.5686
2022-12-07,USD,36.5686
2022-12-08,USD,36.5686
2022-12-09,USD,36.5686
2022-12-10,USD,36.5686
2022-12-11,USD,36.5686
2022-12-12,USD,36.5686
2022-12-13,USD,36.5686
2022-12-14,USD,36.5686
2022-12-15,USD,36.5686
2022-12-16,USD,36.5686
2022-12-17,USD,36.5686
2022-12-18,USD,36.5686
2022-12-19,USD,36.5686
2022-12-20,USD,36.5686
2022-12-21,USD,36.5686
2022-12-22,USD,36.5686
2022-12-23,USD,36.5686
2022-12-24,USD,36.5686
2022-12-25,USD,36.5686
2022-12-26,USD,36.5686
2022-12-27,USD,36.5686
2022-12-28,USD,36.5686
2022-12-29,USD,36.5686
2022-12-30,USD,36.5686
2022-12-31,USD,36.5686
2023-01-01,USD,36.5686
2023-01-02,USD,36.5686
2023-01-03,USD,36.5686
2023-01-04,USD,36.5686
2023-01-05,USD,36.5686
2023-01-06,USD,36.5686
2023-01-07,USD,36.5686
2023-01-08,USD,36.5686
2023-01-09,USD,36.5686
2023-01-10,USD,36.5686
2023-01-11,USD,36.5686
2023-01-12,USD,36.5686
2023-01-13,USD,36.5686
2023-01-14,USD,36.5686
2023-01-15,USD,36.5686
2023-01-16,USD,36.5686
